StudentID,Name,Age,Department,Marks,Attendance,Grade
101,Amit,20.0,ISE,85.0,92.0,A
102,Sara,21.0,CSE,78.0,88.0,B
103,John,20.923076923076923,ISE,92.0,95.0,A
104,Priya,20.0,CSE,65.0,80.0,B
105,David,22.0,ISE,77.53846153846153,90.0,B
106,Meena,21.0,CSE,88.0,94.0,A
107,Ali,20.0,ISE,72.0,85.0,B
108,Riya,22.0,CSE,95.0,98.0,A
109,Kiran,20.923076923076923,ISE,61.0,78.0,C
110,Anu,21.0,CSE,84.0,91.0,A
111,Rahul,20.0,ISE,55.0,88.0,C
112,Neha,22.0,CSE,76.0,87.0,B
113,Arjun,21.0,ISE,89.0,93.0,A
114,Divya,20.0,CSE,77.53846153846153,82.0,B
115,Vijay,22.0,ISE,68.0,79.0,C
